Eval epoch 219, loss: 0.467, acc: 0.778
Epoch 220, loss: 0.445, acc: 0.847
Eval epoch 220, loss: 0.533, acc: 0.667
Epoch 221, loss: 0.480, acc: 0.820
Eval epoch 221, loss: 0.667, acc: 0.667
Epoch 222, loss: 0.425, acc: 0.860
Eval epoch 222, loss: 0.491, acc: 0.667
Epoch 223, loss: 0.481, acc: 0.820
Eval epoch 223, loss: 0.505, acc: 0.667
Epoch 224, loss: 0.437, acc: 0.813
Eval epoch 224, loss: 0.348, acc: 0.889
Epoch 225, loss: 0.560, acc: 0.847
Eval epoch 225, loss: 0.346, acc: 0.833
Epoch 226, loss: 0.512, acc: 0.787
Eval epoch 226, loss: 0.473, acc: 0.778
Epoch 227, loss: 0.458, acc: 0.853
Eval epoch 227, loss: 0.421, acc: 0.722
Epoch 228, loss: 0.448, acc: 0.840
Eval epoch 228, loss: 0.384, acc: 0.833
Epoch 229, loss: 0.527, acc: 0.840
Eval epoch 229, loss: 0.729, acc: 0.667
Epoch 230, loss: 0.409, acc: 0.893
Eval epoch 230, loss: 0.422, acc: 0.889
Epoch 231, loss: 0.452, acc: 0.840
Eval epoch 231, loss: 0.372, acc: 0.833
Epoch 232, loss: 0.465, acc: 0.793
Eval epoch 232, loss: 0.499, acc: 0.778
Epoch 233, loss: 0.413, acc: 0.880
Eval epoch 233, loss: 0.347, acc: 0.833
Epoch 234, loss: 0.456, acc: 0.813
Eval epoch 234, loss: 0.376, acc: 0.833
Epoch 235, loss: 0.440, acc: 0.807
Eval epoch 235, loss: 0.406, acc: 0.833
Epoch 236, loss: 0.494, acc: 0.813
Eval epoch 236, loss: 0.385, acc: 0.778
Epoch 237, loss: 0.448, acc: 0.820
Eval epoch 237, loss: 0.365, acc: 0.778
Epoch 238, loss: 0.451, acc: 0.807
Eval epoch 238, loss: 0.978, acc: 0.611
Epoch 239, loss: 0.424, acc: 0.873
Eval epoch 239, loss: 1.454, acc: 0.611
Epoch 240, loss: 0.508, acc: 0.767
Eval epoch 240, loss: 0.553, acc: 0.722
Epoch 241, loss: 0.489, acc: 0.813
Eval epoch 241, loss: 0.410, acc: 0.778
Epoch 242, loss: 0.446, acc: 0.807
Eval epoch 242, loss: 0.370, acc: 0.833
Epoch 243, loss: 0.425, acc: 0.847
Eval epoch 243, loss: 0.489, acc: 0.833
Epoch 244, loss: 0.472, acc: 0.833
Eval epoch 244, loss: 0.489, acc: 0.833
Epoch 245, loss: 0.570, acc: 0.813
Eval epoch 245, loss: 0.951, acc: 0.611
Epoch 246, loss: 0.451, acc: 0.827
Eval epoch 246, loss: 0.545, acc: 0.778
Epoch 247, loss: 0.424, acc: 0.793
Eval epoch 247, loss: 0.352, acc: 0.833
Epoch 248, loss: 0.519, acc: 0.827
Eval epoch 248, loss: 0.358, acc: 0.833
Epoch 249, loss: 0.473, acc: 0.780
Eval epoch 249, loss: 1.003, acc: 0.611
Epoch 250, loss: 0.499, acc: 0.820
Eval epoch 250, loss: 0.355, acc: 0.944
Epoch 251, loss: 0.459, acc: 0.793
Eval epoch 251, loss: 0.675, acc: 0.500
Epoch 252, loss: 0.476, acc: 0.793
Eval epoch 252, loss: 0.343, acc: 0.833
Epoch 253, loss: 0.458, acc: 0.827
Eval epoch 253, loss: 0.738, acc: 0.722
Epoch 254, loss: 0.489, acc: 0.833
Eval epoch 254, loss: 0.603, acc: 0.722
Epoch 255, loss: 0.466, acc: 0.853
Eval epoch 255, loss: 0.580, acc: 0.667
Epoch 256, loss: 0.477, acc: 0.813
Eval epoch 256, loss: 0.479, acc: 0.778
Epoch 257, loss: 0.466, acc: 0.800
Eval epoch 257, loss: 0.346, acc: 0.833
Epoch 258, loss: 0.443, acc: 0.820
Eval epoch 258, loss: 0.624, acc: 0.778
Epoch 259, loss: 0.469, acc: 0.800
Eval epoch 259, loss: 0.388, acc: 0.833
Epoch 260, loss: 0.451, acc: 0.807
Eval epoch 260, loss: 0.338, acc: 0.833
Epoch 261, loss: 0.455, acc: 0.833
Eval epoch 261, loss: 0.605, acc: 0.778
Epoch 262, loss: 0.450, acc: 0.847
Eval epoch 262, loss: 0.482, acc: 0.778
Epoch 263, loss: 0.435, acc: 0.833
Eval epoch 263, loss: 0.394, acc: 0.833
Epoch 264, loss: 0.437, acc: 0.807
Eval epoch 264, loss: 0.524, acc: 0.833
Epoch 265, loss: 0.476, acc: 0.813
Eval epoch 265, loss: 0.426, acc: 0.833
Epoch 266, loss: 0.429, acc: 0.833
Eval epoch 266, loss: 0.705, acc: 0.722
Epoch 267, loss: 0.444, acc: 0.853
Eval epoch 267, loss: 0.373, acc: 0.778
Epoch 268, loss: 0.429, acc: 0.873
Eval epoch 268, loss: 0.436, acc: 0.833
Epoch 269, loss: 0.458, acc: 0.847
Eval epoch 269, loss: 0.453, acc: 0.722
Epoch 270, loss: 0.550, acc: 0.833
Eval epoch 270, loss: 0.454, acc: 0.778
Epoch 271, loss: 0.461, acc: 0.807
Eval epoch 271, loss: 0.284, acc: 0.833
Epoch 272, loss: 0.452, acc: 0.833
Eval epoch 272, loss: 0.426, acc: 0.667
Epoch 273, loss: 0.442, acc: 0.853
Eval epoch 273, loss: 0.391, acc: 0.778
Epoch 274, loss: 0.485, acc: 0.827
Eval epoch 274, loss: 0.346, acc: 0.833
Epoch 275, loss: 0.424, acc: 0.867
Eval epoch 275, loss: 0.372, acc: 0.833
Epoch 276, loss: 0.430, acc: 0.847
Eval epoch 276, loss: 0.396, acc: 0.778
Epoch 277, loss: 0.411, acc: 0.833
Eval epoch 277, loss: 0.361, acc: 0.722
Epoch 278, loss: 0.476, acc: 0.867
Eval epoch 278, loss: 0.511, acc: 0.722
Epoch 279, loss: 0.453, acc: 0.873
Eval epoch 279, loss: 0.426, acc: 0.778
Epoch 280, loss: 0.518, acc: 0.847
Eval epoch 280, loss: 0.641, acc: 0.722
Epoch 281, loss: 0.499, acc: 0.807
Eval epoch 281, loss: 1.484, acc: 0.611
Epoch 282, loss: 0.453, acc: 0.807
Eval epoch 282, loss: 2.127, acc: 0.611
Epoch 283, loss: 0.472, acc: 0.813
Eval epoch 283, loss: 0.978, acc: 0.667
Epoch 284, loss: 0.472, acc: 0.833
Eval epoch 284, loss: 0.627, acc: 0.667
Epoch 285, loss: 0.472, acc: 0.800
Eval epoch 285, loss: 0.796, acc: 0.778
Epoch 286, loss: 0.465, acc: 0.820
Eval epoch 286, loss: 0.466, acc: 0.722
Epoch 287, loss: 0.711, acc: 0.800
Eval epoch 287, loss: 0.399, acc: 0.778
Epoch 288, loss: 0.443, acc: 0.820
Eval epoch 288, loss: 0.532, acc: 0.722
Epoch 289, loss: 0.455, acc: 0.833
Eval epoch 289, loss: 0.939, acc: 0.667
Epoch 290, loss: 0.468, acc: 0.820
Eval epoch 290, loss: 0.659, acc: 0.667
Epoch 291, loss: 0.447, acc: 0.820
